c,e,Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0,0,0.5,150,0,150,0,1.501,0.056,0.499,0.022,0.501,0.016
0,0,0.6,150,0,150,0,1.494,0.051,0.503,0.021,0.501,0.014
0,0,0.7,150,0,150,0,0.745,0.037,0.877,0.014,0.501,0.006
0,0,0.8,150,0,150,0,0.747,0.036,0.876,0.014,0.501,0.006
0,0,0.9,150,0,150,0,0.756,0.033,0.873,0.013,0.499,0.005
0,0.1,0.5,150,0,150,0,1.501,0.062,0.5,0.025,0.499,0.016
0,0.1,0.6,150,0,150,0,1.498,0.048,0.501,0.019,0.499,0.013
0,0.1,0.7,150,0,150,0,0.751,0.035,0.874,0.014,0.5,0.005
0,0.1,0.8,150,0,150,0,0.754,0.037,0.874,0.015,0.499,0.006
0,0.1,0.9,150,0,150,0,0.747,0.037,0.876,0.014,0.501,0.006
0,0.2,0.5,150,0,150,0,1.501,0.063,0.5,0.024,0.499,0.017
0,0.2,0.6,150,0,150,0,1.499,0.05,0.5,0.02,0.5,0.014
0,0.2,0.7,150,0,150,0,0.744,0.046,0.877,0.017,0.501,0.007
0,0.2,0.8,150,0,150,0,0.749,0.036,0.875,0.014,0.5,0.006
0,0.2,0.9,150,0,150,0,0.761,0.043,0.871,0.017,0.498,0.006
0,0.3,0.5,150,0,150,0,1.51,0.057,0.497,0.022,0.496,0.017
0,0.3,0.6,150,0,150,0,1.492,0.064,0.504,0.025,0.499,0.017
0,0.3,0.7,150,0,150,0,0.75,0.036,0.875,0.014,0.5,0.006
0,0.3,0.8,150,0,150,0,0.75,0.039,0.874,0.016,0.501,0.006
0,0.3,0.9,150,0,150,0,0.746,0.03,0.877,0.012,0.5,0.005
0,0.5,0.5,150,0,150,0,1.507,0.058,0.497,0.023,0.498,0.015
0,0.5,0.6,150,0,150,0,1.509,0.053,0.498,0.02,0.495,0.017
0,0.5,0.7,150,0,150,0,0.753,0.033,0.874,0.014,0.499,0.005
0,0.5,0.8,150,0,150,0,0.744,0.036,0.877,0.014,0.501,0.006
0,0.5,0.9,150,0,150,0,0.757,0.036,0.872,0.014,0.499,0.006
0,1,0.5,150,0,150,0,1.495,0.059,0.502,0.022,0.501,0.017
0,1,0.6,150,0,150,0,1.511,0.054,0.495,0.021,0.499,0.015
0,1,0.7,150,0,150,0,0.762,0.034,0.87,0.014,0.498,0.005
0,1,0.8,150,0,150,0,0.747,0.037,0.876,0.014,0.5,0.007
0,1,0.9,150,0,150,0,0.753,0.037,0.874,0.015,0.499,0.005
0.1,0,0.5,150,0,150,0,1.507,0.062,0.498,0.024,0.498,0.018
0.1,0,0.6,150,0,150,0,1.49,0.053,0.504,0.021,0.502,0.013
0.1,0,0.7,150,0,150,0,0.751,0.038,0.876,0.015,0.499,0.005
0.1,0,0.8,150,0,150,0,0.753,0.031,0.874,0.012,0.499,0.005
0.1,0,0.9,150,0,150,0,0.754,0.043,0.874,0.016,0.499,0.007
0.1,0.1,0.5,150,0,150,0,1.496,0.056,0.501,0.022,0.502,0.015
0.1,0.1,0.6,150,0,150,0,1.489,0.058,0.505,0.023,0.501,0.015
0.1,0.1,0.7,150,0,150,0,0.747,0.036,0.876,0.014,0.501,0.006
0.1,0.1,0.8,150,0,150,0,0.75,0.039,0.875,0.015,0.499,0.007
0.1,0.1,0.9,150,0,150,0,0.749,0.038,0.875,0.015,0.5,0.006
0.1,0.2,0.5,150,0,150,0,1.493,0.045,0.503,0.019,0.5,0.013
0.1,0.2,0.6,150,0,150,0,1.496,0.056,0.502,0.022,0.501,0.015
0.1,0.2,0.7,150,0,150,0,0.749,0.035,0.875,0.013,0.5,0.007
0.1,0.2,0.8,150,0,150,0,0.755,0.04,0.874,0.015,0.499,0.007
0.1,0.2,0.9,150,0,150,0,0.751,0.037,0.875,0.015,0.499,0.006
0.1,0.3,0.5,150,0,150,0,1.503,0.058,0.497,0.023,0.502,0.015
0.1,0.3,0.6,150,0,150,0,1.515,0.059,0.493,0.023,0.499,0.017
0.1,0.3,0.7,150,0,150,0,0.748,0.039,0.876,0.015,0.5,0.006
0.1,0.3,0.8,150,0,150,0,0.746,0.032,0.876,0.013,0.501,0.005
0.1,0.3,0.9,150,0,150,0,0.751,0.039,0.875,0.015,0.5,0.006
0.1,0.5,0.5,150,0,150,0,1.501,0.06,0.501,0.023,0.497,0.018
0.1,0.5,0.6,150,0,150,0,1.506,0.065,0.498,0.027,0.499,0.016
0.1,0.5,0.7,150,0,150,0,0.756,0.04,0.873,0.015,0.5,0.006
0.1,0.5,0.8,150,0,150,0,0.759,0.035,0.871,0.013,0.499,0.006
0.1,0.5,0.9,150,0,150,0,0.751,0.039,0.875,0.015,0.5,0.006
0.1,1,0.5,150,0,150,0,1.513,0.051,0.495,0.02,0.497,0.014
0.1,1,0.6,150,0,150,0,1.488,0.049,0.504,0.019,0.503,0.015
0.1,1,0.7,150,0,150,0,0.742,0.039,0.878,0.015,0.502,0.006
